attacks,card_format,card_number,card_type,damages,energy,evolution,evolved_from,expansion,hp,illustrators,languages,name,rarity,resistance,retreat_cost,variants,weakness
Magical Shot;Swelling Pulse,Standard,016/073,Pokémon V,30;120+,Psychic,Basic,,Champion's Path,210,Kagemaru Himeno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Gardevoir V,Rare Holo V,,2,Unlimited,Metal×2
Electrified Bite Mark;Electro Sprinkler,Standard,059/185,Pokémon,60;120,Lightning,Stage 2,Eelektrik,Vivid Voltage,160,tetsuya koizumi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Eelektross,Rare,,3,Unlimited;Reverse Holo,Fighting×2
,Standard,201/185,"Full Art Trainer,Item",,,,,Vivid Voltage,,Toyste Beach,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Hero's Medal,Rare Secret,,,Unlimited,
Fire Mane,Standard,026/185,Pokémon,100,Fire,Stage 1,Eevee,Vivid Voltage,110,Eri Yamaki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Flareon,Rare,,2,Unlimited;Reverse Holo,Water×2
Auspicious Tone;Hypnoblast,Standard,072/185,Pokémon,0;30,Psychic,Basic,,Vivid Voltage,70,Asako Ito,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Chimecho,Common,Fighting-30,1,Unlimited;Reverse Holo,Darkness×2
Spooky Shot,Standard,071/185,Pokémon,120,Psychic,Stage 2,Dusclops,Vivid Voltage,150,Shigenori Negishi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Dusknoir,Rare Holo,Fighting-30,2,Unlimited;Reverse Holo,Darkness×2
Rolling Tackle,Standard,075/185,Pokémon,10,Psychic,Basic,,Vivid Voltage,60,Mizue,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Cottonee,Common,,1,Unlimited;Reverse Holo,Metal×2
Heart Stamp,Standard,074/185,Pokémon,70,Psychic,Stage 1,Woobat,Vivid Voltage,100,Kagemaru Himeno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Swoobat,Uncommon,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Unamplified Soundwave,Standard,073/185,Pokémon,0,Psychic,Basic,,Vivid Voltage,60,sui,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Woobat,Common,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Searing Flame;Boulder Crush,Standard,173/185,"Full Art Pokémon,Pokémon V",90;180,Fighting,Basic,,Vivid Voltage,220,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Coalossal V,Rare Ultra,,4,Unlimited,Grass×2
