name,expansion
Zoroark and Legendary Pokémon,Unnumbered Promos
"Tornadus, Thundurus & Landorus",Unnumbered Promos
Charizard-GX,SM Black Star Promos
Charizard VMAX,Champion's Path
Charizard VMAX,Darkness Ablaze
Charizard-GX,Battle Academy (Charizard)
Charizard-GX,Burning Shadows
M Rayquaza-EX,Roaring Skies
M Charizard-EX,Evolutions
Charizard-GX,Hidden Fates
M Charizard-EX,Flashfire
Dragonite-GX,Unified Minds
Dusk Mane Necrozma-GX,Ultra Prism
Tyranitar,Darkness Ablaze
Mega Sableye & Tyranitar-GX,Unified Minds
Lunala-GX,SM Black Star Promos
Lugia,SWSH Black Star Promos
Dusk Mane Necrozma-GX,SM Black Star Promos
Lugia,Vivid Voltage
Salamence VMAX,Darkness Ablaze
Copperajah VMAX,Rebel Clash
Gyarados-GX,SM Black Star Promos
Kommo-o-GX,Guardians Rising
Gyarados-GX,Hidden Fates
Kommo-o-GX,SM Black Star Promos
Coalossal VMAX,Vivid Voltage
Latias & Latios-GX,Team Up
Zacian V,Sword & Shield
Zacian V,SWSH Black Star Promos
Reshiram & Charizard-GX,SM Black Star Promos
Reshiram & Charizard-GX,Unbroken Bonds
Solgaleo-GX,SM Black Star Promos
Solgaleo-GX,Sun & Moon
Solgaleo & Lunala-GX,Cosmic Eclipse
Solgaleo-GX,Ultra Prism
Wishiwashi-GX,Guardians Rising
Copperajah,Sword & Shield
Sandaconda V,Rebel Clash
Charizard V,Champion's Path
Steelix,Unified Minds
Charizard V,Darkness Ablaze
Charizard V,SWSH Black Star Promos
Flygon-GX,Cosmic Eclipse
Rillaboom V,Rebel Clash
Venusaur V,Champion's Path
Incineroar V,Champion's Path
Rillaboom V,SWSH Black Star Promos
Tyranitar-GX,Lost Thunder
Lapras V,Sword & Shield
Eevee & Snorlax-GX,Team Up
Rhyperior V,Darkness Ablaze
Eevee & Snorlax-GX,SM Black Star Promos
Steelix V,Vivid Voltage
Blaziken-GX,Celestial Storm
Snorlax-GX,SM Black Star Promos
Moltres & Zapdos & Articuno-GX,SM Black Star Promos
Falinks V,Rebel Clash
Moltres & Zapdos & Articuno-GX,Hidden Fates
Claydol,Sword & Shield
Onix-GX,Hidden Fates
White Kyurem-GX,SM Black Star Promos
"Articuno, Moltres, and Zapdos",Unnumbered Promos
Galarian Sirfetch'd V,SWSH Black Star Promos
Dragonite-GX,SM Black Star Promos
Marshadow & Machamp-GX,Unbroken Bonds
Salamence-GX,SM Black Star Promos
Black Kyurem-EX,Plasma Storm
Charizard ex,EX FireRed & LeafGreen
Gyarados,Rebel Clash
Stonjourner VMAX,Sword & Shield
Galarian Sirfetch'd V,Vivid Voltage
Raichu-GX,Battle Academy (Pikachu)
Salamence-GX,Dragon Majesty
G Booster,Plasma Blast
Raichu-GX,Hidden Fates
White Kyurem-GX,Dragon Majesty
Mewtwo & Mew-GX,SM Black Star Promos
Incineroar-GX,Guardians Rising
Rayquaza C LV.X,DP Black Star Promos
Mewtwo & Mew-GX,Unified Minds
Dragonite,Sun & Moon
Incineroar-GX,SM Black Star Promos
Mewtwo-GX,Shining Legends
Gardevoir & Sylveon-GX,Unbroken Bonds
Incineroar-GX,Sun & Moon
Mewtwo-GX,Hidden Fates
Klinklang,Darkness Ablaze
Dhelmise V,Sword & Shield
Normalium Z: Tackle,Unified Minds
Rowlet & Alolan Exeggutor-GX,Unified Minds
Raichu-GX,SM Black Star Promos
Pikachu V,Vivid Voltage
Charizard,Evolutions
Mesprit LV.X,Legends Awakened
Grimmsnarl V,SWSH Black Star Promos
Meowth VMAX,SWSH Black Star Promos
Alolan Golem-GX,Crimson Invasion
Rayquaza C LV.X,Supreme Victors
Grimmsnarl V,Darkness Ablaze
Lycanroc-GX,Burning Shadows
Infernape,Steam Siege
Pikachu & Zekrom-GX,SM Black Star Promos
Tapu Koko V,Sword & Shield
Lugia LEGEND,HeartGold & SoulSilver
Dragonite-GX,Dragon Majesty
Pikachu & Zekrom-GX,Team Up
Dracozolt,Darkness Ablaze
Alolan Golem,Guardians Rising
Machamp,SWSH Black Star Promos
Galarian Darmanitan VMAX,Vivid Voltage
Power Memory,Fates Collide
Lycanroc-GX,SM Black Star Promos
Zekrom-GX,SM Black Star Promos
Lugia ex,EX Unseen Forces
Machamp,Champion's Path
Alolan Golem,Team Up
Cinderace,Sword & Shield
Tyrantrum-EX,XY Black Star Promos
Arcanine,Unbroken Bonds
Regirock V,Sword & Shield
Shining Rayquaza,Shining Legends
Genesect-GX,Lost Thunder
Zacian,SWSH Black Star Promos
Pheromosa & Buzzwole-GX,Unbroken Bonds
Scizor VMAX,Darkness Ablaze
Forretress,Lost Thunder
Electivire,Lost Thunder
Arcanine,Sun & Moon
Galarian Darmanitan V,Vivid Voltage
Flareon-GX,SM Black Star Promos
Vikavolt V,Darkness Ablaze
Minior,Guardians Rising
Golem,Unbroken Bonds
Galarian Obstagoon,Champion's Path
Flyinium Z: Air Slash,Unified Minds
Golurk,Darkness Ablaze
Celebi & Venusaur-GX,Team Up
Rillaboom,Sword & Shield
Pyroar BREAK,Steam Siege
Machamp-GX,Burning Shadows
Exeggutor,Unified Minds
Gyarados,Evolutions
Celebi & Venusaur GX,SM Black Star Promos
Galarian Sirfetch'd,Rebel Clash
Guzzlord-GX,Hidden Fates
Guzzlord-GX,Crimson Invasion
Dawn Wings Necrozma-GX,SM Black Star Promos
Galarian Sirfetch'd,Darkness Ablaze
Incineroar,Shining Legends
Centiskorch V,Darkness Ablaze
Golem-EX,Generations
Solgaleo,Cosmic Eclipse
Krookodile,Vivid Voltage
Vileplume-GX,Cosmic Eclipse
Magikarp & Wailord-GX,SM Black Star Promos
Copperajah V,Rebel Clash
Lucario V,Champion's Path
Ho-Oh-GX,Burning Shadows
Regigigas,SM Black Star Promos
Naganadel & Guzzlord-GX,Cosmic Eclipse
Morpeko VMAX,Sword & Shield
Ninetales V,Rebel Clash
Torterra,Ultra Prism
Ho-Oh-GX,Hidden Fates
Ho-Oh-GX,SM Black Star Promos
Charizard & Braixen-GX,SM Black Star Promos
Copperajah V,SWSH Black Star Promos
Malamar VMAX,Rebel Clash
M Heracross-EX,Furious Fists
Charizard,Detective Pikachu
Torterra,Forbidden Light
Alolan Exeggutor-GX,Crimson Invasion
Magcargo,Vivid Voltage
Charizard & Braixen-GX,Cosmic Eclipse
M Blastoise-EX,Generations
Vikavolt-GX,Guardians Rising
Reshiram-GX,Dragon Majesty
Reshiram-GX,Hidden Fates
Magikarp & Wailord-GX,Team Up
Celesteela-GX,Ultra Prism
Gardevoir VMAX,Champion's Path
Mudsdale,Guardians Rising
Mewtwo-GX,SM Black Star Promos
Zamazenta,Vivid Voltage
Mudsdale,SM Black Star Promos
Celesteela-GX,SM Black Star Promos
M Garchomp-EX,XY Black Star Promos
Dawn Wings Necrozma-GX,Ultra Prism
Mudsdale,Vivid Voltage
Coalossal V,Vivid Voltage
Quagsire,Vivid Voltage
Reshiram-GX,SM Black Star Promos
Moltres,Team Up
Staraptor,Darkness Ablaze
Rhyperior,Burning Shadows
Lugia-GX,Lost Thunder
Galarian Darmanitan,Rebel Clash
Galarian Darmanitan,Darkness Ablaze
Cinderace VMAX,Rebel Clash
Raichu BREAK,BREAKthrough
Vikavolt,Rebel Clash
Snorlax V,Sword & Shield
Electivire,Burning Shadows
